LinkID,PositionX (m),PositionY (m),PositionZ (m)
AUTO_000143,-457.065,1199.097,0.351
AUTO_000144,-457.274,1201.821,-0.149
AUTO_000145,-457.200,1203.484,0.741
AUTO_000146,-456.896,1204.887,0.343
AUTO_000147,-456.628,1206.621,0.450
AUTO_000148,-457.046,1208.658,0.282
AUTO_000149,-457.242,1210.554,0.112
AUTO_000150,-456.739,1211.695,0.437
AUTO_000151,-457.329,1213.211,-0.439
AUTO_000152,-457.424,1215.501,-0.022
AUTO_000153,-457.225,1217.339,0.132
AUTO_000154,-457.297,1219.924,0.592
AUTO_000155,-457.397,1220.870,0.516
AUTO_000156,-457.533,1222.630,0.406
AUTO_000157,-457.138,1224.143,0.171
AUTO_000158,-457.589,1226.302,0.566
AUTO_000159,-457.417,1228.094,0.388
AUTO_000160,-457.504,1231.702,0.189
AUTO_000161,-457.462,1233.543,-0.271
AUTO_000162,-457.480,1235.158,-0.034
AUTO_000163,-457.405,1238.378,-0.160
AUTO_000164,-457.640,1241.510,0.441
AUTO_000165,-457.751,1243.974,0.309
AUTO_000166,-457.794,1245.667,0.067
AUTO_000167,-457.780,1246.959,0.175
AUTO_000168,-457.878,1249.477,0.703
AUTO_000169,-457.824,1252.513,0.560
AUTO_000170,-457.621,1255.419,-0.034
AUTO_000171,-457.259,1257.417,-0.164
AUTO_000172,-457.276,1258.555,-0.215
AUTO_000173,-457.315,1260.847,0.263
AUTO_000174,-457.711,1262.618,0.421
AUTO_000175,-457.543,1264.910,0.137
AUTO_000176,-458.202,1266.807,0.433
AUTO_000177,-457.365,1269.535,0.409
AUTO_000178,-458.207,1271.043,0.601
AUTO_000179,-457.129,1273.000,0.625
AUTO_000180,-457.618,1275.313,0.085
AUTO_000181,-458.254,1277.189,0.070
AUTO_000182,-458.061,1279.788,0.372
AUTO_000183,-457.684,1281.295,0.307
AUTO_000184,-458.048,1283.525,-0.009
AUTO_000185,-457.896,1286.870,0.384
AUTO_000186,-458.080,1290.439,-0.076
AUTO_000187,-458.276,1291.713,0.173
AUTO_000188,-458.010,1295.009,0.272
AUTO_000189,-457.963,1296.478,0.340
AUTO_000190,-457.439,1298.779,0.610
AUTO_000191,-457.977,1300.897,0.163
AUTO_000192,-458.001,1302.846,-0.128
